participant,*Complex,*Dep,SyllableContact,Contiguity,loglik,k,n
gouskova_simple_template.csv,0,0,0,0,0,4,0
gs_global.csv,0.131978837540077,1.17799767346705,1.5611653743325,1.31438619028119,-1254.6712530603,4,2148
gs_p1.csv,1.71541380691307,3.04297803082739,2.03229261465779,3.57029039841801,-39.8795762623206,4,144
gs_p10.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,-4.15888308335967,4,146
gs_p13.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,-4.15888308335967,4,146
gs_p14.csv,8.46088591519571,10.858781604792,16.5549388384671,19.8659252846734,-5.52147370596961,4,72
gs_p15.csv,0.268322384701328,2.64423736674085,1.25708389528369,1.43074674732458,-39.4994199191414,4,143
gs_p16.csv,7.96083858564712,12.1729680048666,0,13.5190683282777,-14.597883161633,4,137
gs_p17.csv,2.27472869265696,3.13974253935434,3.89176992991324,2.92672910145697,-38.8382841148342,4,144
gs_p18.csv,0,2.35441076218583,1.28261532512434,0.759104297985119,-49.9344742266545,4,146
gs_p19.csv,0.336625629034383,0.121399135222279,1.80658136032119,0,-70.2208167617974,4,72
gs_p2.csv,1.92477539030601,3.51981635259874,2.48491082264484,2.63907243356968,-35.6602523113101,4,146
gs_p20.csv,0.740611595889245,0.406242575219977,1.95774420886151,0.725236641660361,-67.2800988104465,4,68
gs_p21.csv,5.3163929180396,0.000731522828287675,2.89036125756871,2.45345667627655,-51.79803844641,4,70
gs_p3.csv,0,97.3333333333333,40.6666666666667,48.6666666666666,-4.15888308335967,4,146
gs_p4.csv,8.47466641133937,10.8654842840549,2.38963517982333,2.5579616595696,-22.7868911968133,4,145
gs_p5.csv,0,48.6666666666666,20.3333333333333,24.3333333333333,-2.07944154167984,4,73
gs_p6.csv,1.64092170313932,1.24939108794276,3.1696852333379,3.26321082416184,-33.5143415100103,4,66
gs_p7.csv,3.55052331906173,0.00400528626558288,3.14233577087817,2.77926290334297,-68.2070505630423,4,71
gs_p8.csv,3.73957283825471,0.00668028434370854,2.96428646063501,2.70327340657275,-65.3889308447838,4,70
gs_p9.csv,5.28071719266702,4.76984936173603,2.05132462401004,19.4238542117475,-75.4903130377203,4,143
