Input,Output,Frequency,*Complex,*Dep,SyllableContact,Contiguity
beautiful,beautiful,0,1,0,0,0
beautiful,beeautiful,1,0,1,0,1
beautiful,ebeautiful,0,0,1,1,0
breeze,breeze,0,1,0,0,0
breeze,bereeze,1,0,1,0,1
breeze,ebreeze,0,0,1,1,0
bring,bring,0,1,0,0,0
bring,bering,1,0,1,0,1
bring,ebring,0,0,1,1,0
brings,brings,1,1,0,0,0
brings,berings,0,0,1,0,1
brings,ebrings,0,0,1,1,0
brother,brother,1,1,0,0,0
brother,berother,0,0,1,0,1
brother,ebrother,0,0,1,1,0
bugle,bugle,0,1,0,0,0
bugle,beugle,0,0,1,0,1
bugle,ebugle,0,0,1,1,0
clean,clean,0,1,0,0,0
clean,celean,1,0,1,0,1
clean,eclean,0,0,1,1,0
creek,creek,1,1,0,0,0
creek,cereek,0,0,1,0,1
creek,ecreek,0,0,1,1,0
cute,cute,1,1,0,0,0
cute,ceyute,0,0,1,0,1
cute,ecute,0,0,1,1,0
dreaming,dreaming,0,1,0,0,0
dreaming,dereaming,1,0,1,0,1
dreaming,edreaming,0,0,1,1,0
drink,drink,0,1,0,0,0
drink,derink,1,0,1,0,1
drink,edrink,0,0,1,1,0
dwarf,dwarf,0,1,0,0,0
dwarf,dewarf,0,0,1,0,1
dwarf,edwarf,0,0,1,1,0
dwayne,dwayne,0,1,0,0,0
dwayne,dewayne,0,0,1,0,1
dwayne,edwayne,0,0,1,1,0
flickering,flickering,0,1,0,0,0
flickering,felickering,1,0,1,0,1
flickering,eflickering,0,0,1,1,0
flock,flock,0,1,0,0,0
flock,felock,1,0,1,0,1
flock,eflock,0,0,1,1,0
floor,floor,0,1,0,0,0
floor,feloor,1,0,1,0,1
floor,efloor,0,0,1,1,0
fly,fly,1,1,0,0,0
fly,fely,0,0,1,0,1
fly,efly,0,0,1,1,0
flying,flying,1,1,0,0,0
flying,felying,0,0,1,0,1
flying,eflying,0,0,1,1,0
freaks,freaks,1,1,0,0,0
freaks,fereaks,0,0,1,0,1
freaks,efreaks,0,0,1,1,0
gloves,gloves,0,1,0,0,0
gloves,geloves,1,0,1,0,1
gloves,egloves,0,0,1,1,0
grabs,grabs,0,1,0,0,0
grabs,gerabs,1,0,1,0,1
grabs,egrabs,0,0,1,1,0
ground,ground,0,1,0,0,0
ground,geround,1,0,1,0,1
ground,eground,0,0,1,1,0
place,place,0,1,0,0,0
place,pelace,1,0,1,0,1
place,eplace,0,0,1,1,0
please,please,0,1,0,0,0
please,pelease,1,0,1,0,1
please,eplease,0,0,1,1,0
plethora,plethora,0,1,0,0,0
plethora,pelethora,0,0,1,0,1
plethora,eplethora,0,0,1,1,0
quacks,quacks,0,1,0,0,0
quacks,qeuaks,0,0,1,0,1
quacks,equacks,0,0,1,1,0
queen,queen,0,1,0,0,0
queen,qeueen,1,0,1,0,1
queen,equeen,0,0,1,1,0
quickly,quickly,0,1,0,0,0
quickly,qeuickly,1,0,1,0,1
quickly,equickly,0,0,1,1,0
scarlett,scarlett,1,1,0,0,0
scarlett,secarlett,0,0,1,0,1
scarlett,escarlett,0,0,1,0,0
scoop,scoop,0,1,0,0,0
scoop,secoop,0,0,1,0,1
scoop,escoop,0,0,1,0,0
skeptical,skeptical,1,1,0,0,0
skeptical,sekeptical,0,0,1,0,1
skeptical,eskeptical,0,0,1,0,0
skin,skin,1,1,0,0,0
skin,sekin,0,0,1,0,1
skin,eskin,0,0,1,0,0
skip,skip,1,1,0,0,0
skip,sekip,0,0,1,0,1
skip,eskip,0,0,1,0,0
sleep,sleep,0,1,0,0,0
sleep,seleep,0,0,1,0,1
sleep,esleep,1,0,1,1,0
slips,slips,1,1,0,0,0
slips,selips,0,0,1,0,1
slips,eslips,0,0,1,1,0
sloth,sloth,0,1,0,0,0
sloth,seloth,0,0,1,0,1
sloth,esloth,1,0,1,1,0
slouched,slouched,0,1,0,0,0
slouched,selouched,0,0,1,0,1
slouched,eslouched,1,0,1,1,0
slow,slow,1,1,0,0,0
slow,selow,0,0,1,0,1
slow,eslow,0,0,1,1,0
slugs,slugs,1,1,0,0,0
slugs,selugs,0,0,1,0,1
slugs,eslugs,0,0,1,1,0
smacked,smacked,1,1,0,0,0
smacked,semacked,0,0,1,0,1
smacked,esmacked,0,0,1,1,0
small,small,0,1,0,0,0
small,semall,0,0,1,0,1
small,esmall,1,0,1,1,0
small,small,2,1,0,0,0
small,semall,0,0,1,0,1
small,esmall,0,0,1,1,0
smelling,smelling,1,1,0,0,0
smelling,semelling,0,0,1,0,1
smelling,esmelling,0,0,1,1,0
smiles,smiles,1,1,0,0,0
smiles,semiles,0,0,1,0,1
smiles,esmiles,0,0,1,1,0
smith,smith,0,1,0,0,0
smith,semith,0,0,1,0,1
smith,esmith,1,0,1,1,0
smog,smog,1,1,0,0,0
smog,semog,0,0,1,0,1
smog,esmog,0,0,1,1,0
snag,snag,1,1,0,0,0
snag,senag,0,0,1,0,1
snag,esnag,0,0,1,1,0
snaps,snaps,0,1,0,0,0
snaps,senps,0,0,1,0,1
snaps,esnaps,1,0,1,1,0
snatch,snatch,1,1,0,0,0
snatch,senatch,0,0,1,0,1
snatch,esnatch,0,0,1,1,0
sniffs,sniffs,1,1,0,0,0
sniffs,seniffs,0,0,1,0,1
sniffs,esniffs,0,0,1,1,0
snips,snips,1,1,0,0,0
snips,senips,0,0,1,0,1
snips,esnips,0,0,1,1,0
snoops,snoops,1,1,0,0,0
snoops,senoops,0,0,1,0,1
snoops,esnoops,0,0,1,1,0
snow,snow,1,1,0,0,0
snow,senow,0,0,1,0,1
snow,esnow,0,0,1,1,0
spark,spark,0,1,0,0,0
spark,separk,0,0,1,0,1
spark,espark,1,0,1,0,0
speed,speed,0,1,0,0,0
speed,sepeed,0,0,1,0,1
speed,espeed,1,0,1,0,0
start,start,0,1,0,0,0
start,setart,0,0,1,0,1
start,estart,1,0,1,0,0
starts,starts,1,1,0,0,0
starts,setarts,0,0,1,0,1
starts,estarts,1,0,1,0,0
steps,steps,1,1,0,0,0
steps,seteps,0,0,1,0,1
steps,esteps,0,0,1,0,0
stop,stop,0,1,0,0,0
stop,setop,0,0,1,0,1
stop,estop,1,0,1,0,0
swats,swats,1,1,0,0,0
swats,sewats,0,0,1,0,1
swats,eswats,0,0,1,1,0
sweeping,sweeping,0,1,0,0,0
sweeping,seweeping,1,0,1,0,1
sweeping,esweeping,0,0,1,1,0
sweeps,sweeps,1,1,0,0,0
sweeps,seweeps,0,0,1,0,1
sweeps,esweeps,0,0,1,1,0
swim,swim,0,1,0,0,0
swim,sewim,1,0,1,0,1
swim,eswim,0,0,1,1,0
swoon,swoon,0,1,0,0,0
swoon,sewoon,1,0,1,0,1
swoon,eswoon,0,0,1,1,0
thrashing,thrashing,1,1,0,0,0
thrashing,therashing,0,0,1,0,1
thrashing,ethrashing,0,0,1,1,0
thread,thread,1,1,0,0,0
thread,theread,0,0,1,0,1
thread,ethread,0,0,1,1,0
three,three,0,1,0,0,0
three,theree,1,0,1,0,1
three,ethree,0,0,1,1,0
throttle,throttle,1,1,0,0,0
throttle,therottle,0,0,1,0,1
throttle,ethrottle,0,0,1,1,0
trot,trot,1,1,0,0,0
trot,terot,0,0,1,0,1
trot,etrot,0,0,1,1,0
tweaking,tweaking,0,1,0,0,0
tweaking,teweaking,1,0,1,0,1
tweaking,etweaking,0,0,1,1,0
twin,twin,0,1,0,0,0
twin,tewin,1,0,1,0,1
twin,etwin,0,0,1,1,0
twitches,twitches,0,1,0,0,0
twitches,tewitches,1,0,1,0,1
twitches,etwitches,0,0,1,1,0
